nome_curso,nome_aluno,media_global,matricula,cpf,status,tipo_desconto,valor_desconto,nome_departamento,semestre_atual
Data Science,Cecilia Macedo,6.48,1087142,74706283217,Inativo,Bolsa Parcial,38.8,Escola de Tecnologia,8
Data Science,Erick Pinto,7.63,1086860,52968888823,Inativo,Bolsa Parcial,45.2,Escola de Tecnologia,1
Data Science,Giovanna Garcia,9.35,1087982,63484334849,Inativo,Bolsa Mérito,93.9,Escola de Tecnologia,1
Data Science,Ana Liz Araújo,8.54,1088264,28447546667,Matriculado,Bolsa Mérito,51.4,Escola de Tecnologia,6
Data Science,Alice Sousa,8.35,1090355,16867225853,Inativo,Bolsa Mérito,91.6,Escola de Tecnologia,8
Data Science,Luísa Almeida,7.93,1087997,41660893654,Matriculado,Bolsa Parcial,48.0,Escola de Tecnologia,6
Data Science,Júlia Lima,7.97,1087928,34958857401,Matriculado,Bolsa Parcial,48.3,Escola de Tecnologia,3
Data Science,Ísis Cardoso,7.8,1086497,63732561686,Inativo,Bolsa Parcial,41.7,Escola de Tecnologia,6
Data Science,Manuella Borges,6.19,1089548,20087803130,Inativo,Bolsa Parcial,40.5,Escola de Tecnologia,8
Data Science,Fernando Cassiano,9.89,1089614,34424876016,Matriculado,Bolsa Mérito,58.0,Escola de Tecnologia,3
Data Science,Ana Julia Porto,6.74,1088723,15392606868,Matriculado,Bolsa Parcial,22.3,Escola de Tecnologia,6
Data Science,Joaquim Ribeiro,7.49,1089155,14941730890,Matriculado,Bolsa Parcial,35.8,Escola de Tecnologia,2
Data Science,Enrico Cardoso,7.56,1086578,70654189131,Inativo,Bolsa Parcial,20.0,Escola de Tecnologia,5
Data Science,Maria Júlia Pinto,6.19,1086875,711531924,Matriculado,Bolsa Parcial,46.2,Escola de Tecnologia,8
Data Science,Vicente Souza,6.08,1086395,43236749745,Inativo,Bolsa Parcial,22.3,Escola de Tecnologia,8
Data Science,Gabriela Brito,9.35,1090022,68598637423,Inativo,Bolsa Mérito,76.0,Escola de Tecnologia,5
Data Science,Erick Santos,7.79,1089527,73297928228,Matriculado,Bolsa Parcial,22.4,Escola de Tecnologia,7
Data Science,Amanda Teixeira,7.59,1086869,20338398687,Inativo,Bolsa Parcial,37.7,Escola de Tecnologia,1
Data Science,Maya Jesus,6.24,1088027,32301617065,Inativo,Bolsa Parcial,33.8,Escola de Tecnologia,6
Data Science,Melissa Nunes,7.47,1086179,68596946715,Matriculado,Bolsa Parcial,38.1,Escola de Tecnologia,2
Data Science,Stella da Costa,7.45,1085828,99422305601,Matriculado,Bolsa Parcial,39.5,Escola de Tecnologia,7
Data Science,Nicole Rios,7.01,1089299,92060371553,Matriculado,Bolsa Parcial,42.7,Escola de Tecnologia,6
Data Science,Luna Freitas,6.35,1089974,45168825256,Matriculado,Bolsa Parcial,47.5,Escola de Tecnologia,5
Data Science,Maria Liz Câmara,6.29,1088636,70522503679,Matriculado,Bolsa Parcial,45.3,Escola de Tecnologia,1
Data Science,Nicole da Rocha,8.46,1086935,76987252921,Inativo,Bolsa Mérito,87.4,Escola de Tecnologia,2
Data Science,Heloisa Rezende,8.42,1087136,31862864842,Inativo,Bolsa Mérito,59.5,Escola de Tecnologia,8
Data Science,Théo Araújo,8.22,1088690,4510384152,Inativo,Bolsa Mérito,93.7,Escola de Tecnologia,5
Data Science,Ísis Caldeira,8.78,1090091,83320282764,Matriculado,Bolsa Mérito,84.5,Escola de Tecnologia,7
Data Science,Francisco Nascimento,9.15,1088405,17993078946,Inativo,Bolsa Mérito,54.8,Escola de Tecnologia,3
Data Science,Luiza Borges,9.68,1089053,86612270772,Matriculado,Bolsa Mérito,69.0,Escola de Tecnologia,7
Data Science,Henrique Abreu,6.54,1087907,23962318987,Inativo,Bolsa Parcial,32.7,Escola de Tecnologia,5
Data Science,Ana Luiza Siqueira,7.79,1089824,74899106381,Inativo,Bolsa Parcial,47.5,Escola de Tecnologia,4
Data Science,Brayan Lima,6.87,1088177,21282696644,Inativo,Bolsa Parcial,44.3,Escola de Tecnologia,5
Data Science,Heloísa Sá,7.94,1089677,53745747790,Inativo,Bolsa Parcial,24.3,Escola de Tecnologia,4
Data Science,Rafaela Vasconcelos,9.11,1088489,59624463668,Matriculado,Bolsa Mérito,96.5,Escola de Tecnologia,8
Data Science,Yago da Cunha,7.89,1088108,71126724260,Matriculado,Bolsa Parcial,30.7,Escola de Tecnologia,6
Data Science,Agatha Viana,7.28,1087217,56414044212,Matriculado,Bolsa Parcial,29.5,Escola de Tecnologia,2
Data Science,Giovanna Sousa,9.07,1088081,28349864575,Inativo,Bolsa Mérito,70.2,Escola de Tecnologia,2
Data Science,Isabelly Machado,8.76,1088948,62881791881,Matriculado,Bolsa Mérito,78.9,Escola de Tecnologia,3
Data Science,Maya Nogueira,6.01,1090187,13424433957,Inativo,Bolsa Parcial,31.9,Escola de Tecnologia,4
Data Science,Hadassa Moraes,9.98,1086704,67485254639,Inativo,Bolsa Mérito,72.7,Escola de Tecnologia,8
Data Science,Fernanda Gomes,6.55,1089662,95795179490,Inativo,Bolsa Parcial,46.8,Escola de Tecnologia,5
Data Science,Liam da Rocha,6.26,1088621,26446018997,Inativo,Bolsa Parcial,47.5,Escola de Tecnologia,8
Data Science,Lucas Gabriel Fogaça,6.01,1087433,54501840372,Inativo,Bolsa Parcial,23.5,Escola de Tecnologia,7
Data Science,Isabel Casa Grande,7.76,1087598,86424888517,Matriculado,Bolsa Parcial,26.6,Escola de Tecnologia,8
Data Science,Gabrielly Marques,8.51,1090037,26759452164,Matriculado,Bolsa Mérito,60.3,Escola de Tecnologia,3
Data Science,Allana Nunes,7.47,1090349,10256055847,Inativo,Bolsa Parcial,20.9,Escola de Tecnologia,8
Data Science,Agatha Rocha,8.77,1085747,54068072405,Inativo,Bolsa Mérito,73.6,Escola de Tecnologia,4
Data Science,Olívia Duarte,9.53,1087202,31518296434,Inativo,Bolsa Mérito,78.0,Escola de Tecnologia,2
Data Science,João Guilherme Costa,9.3,1089512,30953338547,Inativo,Bolsa Mérito,89.5,Escola de Tecnologia,3
Data Science,Pietro Fonseca,7.27,1085732,84381944187,Inativo,Bolsa Parcial,47.0,Escola de Tecnologia,4
Data Science,Theo Costa,7.34,1088012,9021080998,Inativo,Bolsa Parcial,41.2,Escola de Tecnologia,2
Data Science,Nicole Peixoto,8.03,1087271,59494216178,Matriculado,Bolsa Mérito,69.8,Escola de Tecnologia,4
Data Science,Maysa Gonçalves,6.19,1089350,92467291892,Inativo,Bolsa Parcial,31.8,Escola de Tecnologia,3
Data Science,Caleb da Cruz,8.07,1087514,18772991164,Inativo,Bolsa Mérito,61.5,Escola de Tecnologia,7
Data Science,Raquel Almeida,6.6,1090103,43706655864,Inativo,Bolsa Parcial,26.8,Escola de Tecnologia,2
Data Science,Enrico Caldeira,8.05,1087664,85722320643,Matriculado,Bolsa Mérito,63.1,Escola de Tecnologia,6
Data Science,Alexia Cassiano,8.88,1087121,81347310947,Matriculado,Bolsa Mérito,94.8,Escola de Tecnologia,5
Data Science,Elisa Cassiano,6.35,1089893,8495280497,Matriculado,Bolsa Parcial,26.8,Escola de Tecnologia,3
Data Science,Isis Monteiro,8.56,1088933,88199758554,Inativo,Bolsa Mérito,57.7,Escola de Tecnologia,5
Data Science,Cecilia Albuquerque,7.52,1086098,17286301416,Matriculado,Bolsa Parcial,29.4,Escola de Tecnologia,1
Data Science,Luiz Henrique Dias,8.53,1089989,89488173461,Inativo,Bolsa Mérito,69.9,Escola de Tecnologia,1
Data Science,Davi Luiz da Conceição,8.96,1090334,47455718547,Matriculado,Bolsa Mérito,90.6,Escola de Tecnologia,7
Data Science,Kamilly Vasconcelos,6.18,1089047,59692002893,Inativo,Bolsa Parcial,29.6,Escola de Tecnologia,4
Data Science,Eloah da Mota,7.66,1086929,89886204268,Inativo,Bolsa Parcial,26.0,Escola de Tecnologia,8
Data Science,Daniela Novaes,7.2,1088996,18404699338,Inativo,Bolsa Parcial,27.7,Escola de Tecnologia,5
Data Science,Marcela da Mota,7.61,1089410,34092863116,Matriculado,Bolsa Parcial,25.8,Escola de Tecnologia,5
Data Science,Isis Marques,8.81,1087658,61389783605,Inativo,Bolsa Mérito,75.8,Escola de Tecnologia,2
Data Science,Hellena Caldeira,6.65,1086224,60181884337,Inativo,Bolsa Parcial,24.2,Escola de Tecnologia,1
Data Science,Théo Moraes,8.89,1087955,91287836251,Matriculado,Bolsa Mérito,65.9,Escola de Tecnologia,5
Data Science,Breno Almeida,9.05,1089968,93529670636,Inativo,Bolsa Mérito,62.5,Escola de Tecnologia,4
Data Science,Isis Azevedo,7.88,1090016,63884341744,Matriculado,Bolsa Parcial,44.8,Escola de Tecnologia,1
Data Science,Nicolas Jesus,7.63,1088318,87486660681,Inativo,Bolsa Parcial,34.3,Escola de Tecnologia,5
Data Science,Cauê Carvalho,6.16,1085957,38584511676,Matriculado,Bolsa Parcial,47.2,Escola de Tecnologia,5
Data Science,Luana Aparecida,8.53,1089872,24725374575,Matriculado,Bolsa Mérito,91.4,Escola de Tecnologia,5
Data Science,Sabrina Castro,8.27,1085942,21612404880,Inativo,Bolsa Mérito,89.8,Escola de Tecnologia,2
Data Science,Ágatha Rodrigues,8.27,1087643,98295412409,Inativo,Bolsa Mérito,74.6,Escola de Tecnologia,8
Data Science,Anna Liz Cavalcante,6.64,1087199,46538693543,Matriculado,Bolsa Parcial,44.0,Escola de Tecnologia,3
Data Science,Sophie Garcia,7.24,1086158,34375215997,Inativo,Bolsa Parcial,23.3,Escola de Tecnologia,8
Data Science,Thomas Gonçalves,7.55,1089791,93635655763,Inativo,Bolsa Parcial,38.6,Escola de Tecnologia,8
Data Science,Matheus da Rocha,7.52,1089278,44258822495,Inativo,Bolsa Parcial,37.0,Escola de Tecnologia,7
Data Science,Mariana Pimenta,6.36,1088684,85827701443,Inativo,Bolsa Parcial,35.7,Escola de Tecnologia,3
Data Science,Josué Gomes,7.62,1090070,76063345522,Matriculado,Bolsa Parcial,24.0,Escola de Tecnologia,1
Data Science,Heloisa Cavalcanti,7.44,1088765,32108590088,Matriculado,Bolsa Parcial,44.5,Escola de Tecnologia,4
Data Science,Maria Luísa Fogaça,9.94,1090085,33043126062,Inativo,Bolsa Mérito,98.0,Escola de Tecnologia,6
Data Science,Maria Clara da Mata,6.33,1089182,27821055148,Matriculado,Bolsa Parcial,38.7,Escola de Tecnologia,2
Data Science,Thiago Fonseca,9.13,1088468,66172541224,Inativo,Bolsa Mérito,58.3,Escola de Tecnologia,3
Data Science,Théo Melo,6.52,1087427,4181145354,Inativo,Bolsa Parcial,27.2,Escola de Tecnologia,2
Data Science,Heloisa Monteiro,8.41,1086305,57249678181,Inativo,Bolsa Mérito,98.9,Escola de Tecnologia,7
Data Science,Vinícius Andrade,8.52,1090166,96894482039,Inativo,Bolsa Mérito,86.3,Escola de Tecnologia,7
Data Science,Gustavo Henrique da Rocha,7.53,1089575,50270016168,Inativo,Bolsa Parcial,25.5,Escola de Tecnologia,1
Data Science,Eloá Porto,7.42,1086455,87207288908,Matriculado,Bolsa Parcial,42.6,Escola de Tecnologia,7
Data Science,Thales Abreu,6.6,1087889,32339659585,Matriculado,Bolsa Parcial,49.4,Escola de Tecnologia,4
Data Science,Manuella da Rocha,7.47,1088237,10984665610,Matriculado,Bolsa Parcial,33.0,Escola de Tecnologia,2
Data Science,Luiza Ribeiro,6.52,1088303,29686815257,Matriculado,Bolsa Parcial,42.6,Escola de Tecnologia,8
Data Science,Luara Viana,9.73,1089953,5873935319,Matriculado,Bolsa Mérito,75.9,Escola de Tecnologia,7
Data Science,Thales Machado,6.89,1087250,41389363063,Inativo,Bolsa Parcial,46.2,Escola de Tecnologia,7
Data Science,Olivia Costa,9.08,1087562,2160688067,Inativo,Bolsa Mérito,69.4,Escola de Tecnologia,7
Data Science,Bianca Rodrigues,8.27,1087265,58954168480,Inativo,Bolsa Mérito,77.8,Escola de Tecnologia,1
Data Science,Carlos Eduardo Santos,7.05,1088912,84967933998,Matriculado,Bolsa Parcial,32.2,Escola de Tecnologia,4
Data Science,Agatha Sampaio,9.12,1089494,32196636540,Matriculado,Bolsa Mérito,92.9,Escola de Tecnologia,7
Data Science,Esther Vasconcelos,9.31,1087184,80096067547,Matriculado,Bolsa Mérito,75.1,Escola de Tecnologia,6
Data Science,Cauã Lopes,8.09,1086767,49296114502,Inativo,Bolsa Mérito,87.3,Escola de Tecnologia,2
Data Science,Joana Peixoto,8.82,1086590,72593807549,Inativo,Bolsa Mérito,60.9,Escola de Tecnologia,3
Data Science,Pedro Henrique Vargas,7.39,1089737,44834662077,Inativo,Bolsa Parcial,37.3,Escola de Tecnologia,8
Data Science,Cecilia Dias,6.76,1086536,91777542107,Matriculado,Bolsa Parcial,37.9,Escola de Tecnologia,6
Data Science,Luiz Miguel Aparecida,9.65,1088453,17668570185,Inativo,Bolsa Mérito,67.7,Escola de Tecnologia,3
Data Science,Caroline Cassiano,8.41,1089425,94636476318,Inativo,Bolsa Mérito,63.2,Escola de Tecnologia,4
Data Science,Sara Silva,7.68,1087481,31190730476,Inativo,Bolsa Parcial,42.2,Escola de Tecnologia,2
Data Science,Maria Luiza Ferreira,9.06,1089113,10874982255,Inativo,Bolsa Mérito,94.5,Escola de Tecnologia,5
Data Science,Mirella Rocha,8.17,1089560,33690524988,Matriculado,Bolsa Mérito,57.5,Escola de Tecnologia,2
Data Science,Maria Isis Moreira,8.63,1090382,36321257311,Matriculado,Bolsa Mérito,99.6,Escola de Tecnologia,3
Data Science,Maria Cavalcanti,9.51,1088894,25954378663,Matriculado,Bolsa Mérito,52.7,Escola de Tecnologia,6
Data Science,Ayla Cardoso,6.14,1087691,60660190690,Inativo,Bolsa Parcial,43.8,Escola de Tecnologia,1
Data Science,Luigi Nascimento,8.37,1087097,85334541580,Matriculado,Bolsa Mérito,52.8,Escola de Tecnologia,7
Data Science,Emilly Moraes,6.47,1089323,2719620703,Inativo,Bolsa Parcial,48.5,Escola de Tecnologia,1
Data Science,Eloá Albuquerque,6.98,1086449,10377511153,Matriculado,Bolsa Parcial,45.1,Escola de Tecnologia,4
Data Science,Caroline Mendes,9.73,1088201,47535324869,Inativo,Bolsa Mérito,54.0,Escola de Tecnologia,5
Data Science,Stella da Rocha,6.67,1087259,83600086953,Inativo,Bolsa Parcial,45.7,Escola de Tecnologia,2
Data Science,Natália Moura,6.49,1085990,20896880521,Inativo,Bolsa Parcial,38.8,Escola de Tecnologia,1
Data Science,Emanuel Novaes,8.97,1088609,2567838219,Inativo,Bolsa Mérito,88.3,Escola de Tecnologia,3
Data Science,Amanda Cassiano,6.83,1086746,6130050224,Matriculado,Bolsa Parcial,36.4,Escola de Tecnologia,8
Data Science,Ana Cecília Camargo,6.97,1088447,82929267840,Matriculado,Bolsa Parcial,24.3,Escola de Tecnologia,2
Data Science,Paulo Santos,8.73,1089932,47475279133,Matriculado,Bolsa Mérito,78.1,Escola de Tecnologia,8
Data Science,Francisco Nogueira,8.18,1088366,58557364862,Inativo,Bolsa Mérito,92.4,Escola de Tecnologia,6
Data Science,Ísis Porto,9.69,1086041,47009215078,Matriculado,Bolsa Mérito,72.4,Escola de Tecnologia,4
Data Science,Ana Beatriz Nunes,7.45,1088597,75383481461,Inativo,Bolsa Parcial,31.5,Escola de Tecnologia,7
Data Science,Mariane Marques,8.11,1089473,25606073619,Matriculado,Bolsa Mérito,67.7,Escola de Tecnologia,7
Data Science,Bento Nascimento,9.14,1086908,60952061826,Inativo,Bolsa Mérito,80.7,Escola de Tecnologia,7
Data Science,Caleb Lima,6.31,1090295,58679726099,Matriculado,Bolsa Parcial,28.3,Escola de Tecnologia,3
Data Science,Luigi Nascimento,9.87,1086665,29952381707,Inativo,Bolsa Mérito,88.1,Escola de Tecnologia,1
Data Science,Gabriela Casa Grande,9.62,1089554,6262792975,Matriculado,Bolsa Mérito,90.2,Escola de Tecnologia,8
Data Science,Yago Cardoso,8.09,1086218,83057599212,Inativo,Bolsa Mérito,61.9,Escola de Tecnologia,6
Data Science,Antonella Rodrigues,9.56,1086368,22324767012,Inativo,Bolsa Mérito,52.5,Escola de Tecnologia,6
Data Science,Yasmin Sá,6.99,1087178,5985710048,Matriculado,Bolsa Parcial,23.5,Escola de Tecnologia,3
Data Science,Maria Alice Peixoto,7.5,1089569,80488173079,Inativo,Bolsa Parcial,28.8,Escola de Tecnologia,3
Data Science,Maria Vitória Aparecida,7.82,1087475,73211000082,Inativo,Bolsa Parcial,23.5,Escola de Tecnologia,2
Data Science,Ana Camargo,9.68,1086122,45477647632,Matriculado,Bolsa Mérito,81.0,Escola de Tecnologia,2
Data Science,Luiz Miguel Pires,9.06,1089242,35628164325,Matriculado,Bolsa Mérito,64.1,Escola de Tecnologia,1
Data Science,Lunna da Conceição,9.34,1088351,38843737445,Inativo,Bolsa Mérito,98.5,Escola de Tecnologia,3
Data Science,Zoe Casa Grande,6.41,1087949,28882360596,Inativo,Bolsa Parcial,21.8,Escola de Tecnologia,3
Data Science,Ana Luiza Ramos,9.1,1086977,86054959836,Matriculado,Bolsa Mérito,96.0,Escola de Tecnologia,8
Data Science,Helena Oliveira,7.6,1088270,54270152665,Inativo,Bolsa Parcial,37.9,Escola de Tecnologia,7
Data Science,Sara Correia,9.11,1088825,36039603928,Inativo,Bolsa Mérito,98.1,Escola de Tecnologia,2
Data Science,Marcela Freitas,8.16,1086515,18405108200,Inativo,Bolsa Mérito,54.4,Escola de Tecnologia,5
Data Science,Dom Sá,9.83,1088120,88306442004,Inativo,Bolsa Mérito,93.7,Escola de Tecnologia,4
Data Science,Lara Camargo,7.56,1090145,8722473292,Inativo,Bolsa Parcial,36.8,Escola de Tecnologia,1
Data Science,Helena Novais,9.37,1086500,36688673044,Inativo,Bolsa Mérito,70.3,Escola de Tecnologia,7
Data Science,Brenda Carvalho,9.81,1089011,39992899553,Inativo,Bolsa Mérito,78.3,Escola de Tecnologia,6
Data Science,Erick Pereira,7.58,1088135,79729902139,Matriculado,Bolsa Parcial,25.5,Escola de Tecnologia,8
Data Science,Clarice da Costa,7.31,1087929,52579581498,Inativo,Bolsa Parcial,47.6,Escola de Tecnologia,3
Data Science,Nina Mendonça,8.85,1085985,70832559338,Inativo,Bolsa Mérito,73.9,Escola de Tecnologia,6
Data Science,Luara Pastor,7.74,1086807,28217144802,Inativo,Bolsa Parcial,37.1,Escola de Tecnologia,6
Data Science,Maya Cirino,8.07,1085916,25827377509,Matriculado,Bolsa Mérito,98.6,Escola de Tecnologia,2
Data Science,Sara Macedo,9.65,1087602,49035963548,Matriculado,Bolsa Mérito,51.1,Escola de Tecnologia,5
Data Science,Luiz Miguel Lima,7.83,1087293,41354544131,Inativo,Bolsa Parcial,40.8,Escola de Tecnologia,7
Data Science,João Lucas Campos,9.06,1089600,42027606441,Inativo,Bolsa Mérito,93.4,Escola de Tecnologia,1
Data Science,Samuel Leão,6.52,1087224,81994177734,Matriculado,Bolsa Parcial,20.4,Escola de Tecnologia,5
Data Science,Luna Almeida,7.9,1086171,1965199849,Matriculado,Bolsa Parcial,23.3,Escola de Tecnologia,3
Data Science,Maria Laura Barbosa,9.51,1087686,23716470107,Matriculado,Bolsa Mérito,63.5,Escola de Tecnologia,6
Data Science,Fernanda Sales,8.25,1088115,83680632176,Inativo,Bolsa Mérito,80.6,Escola de Tecnologia,6
Data Science,Esther da Cruz,6.69,1088049,93827978443,Inativo,Bolsa Parcial,37.4,Escola de Tecnologia,7
Data Science,Luna Rezende,6.89,1088199,58324959797,Inativo,Bolsa Parcial,47.7,Escola de Tecnologia,7
Data Science,Bernardo Garcia,7.45,1085901,46454370025,Matriculado,Bolsa Parcial,41.9,Escola de Tecnologia,7
Data Science,Raul Ribeiro,6.96,1086090,8982646581,Inativo,Bolsa Parcial,24.9,Escola de Tecnologia,3
Data Science,Maria Luiza Dias,6.39,1087158,77551275057,Matriculado,Bolsa Parcial,44.1,Escola de Tecnologia,7
Data Science,Isadora Castro,7.37,1087671,79200396220,Matriculado,Bolsa Parcial,48.0,Escola de Tecnologia,1
Data Science,Henry Gabriel Rios,9.86,1086645,42939513550,Inativo,Bolsa Mérito,73.4,Escola de Tecnologia,5
Data Science,Melina Rios,7.83,1089237,82257317051,Matriculado,Bolsa Parcial,45.6,Escola de Tecnologia,7
Data Science,Olivia da Rocha,6.32,1090059,78756378525,Inativo,Bolsa Parcial,39.8,Escola de Tecnologia,6
Data Science,Letícia Cassiano,8.39,1089318,62746002985,Inativo,Bolsa Mérito,50.4,Escola de Tecnologia,1
Data Science,Pedro Andrade,9.58,1090194,89240176728,Matriculado,Bolsa Mérito,85.1,Escola de Tecnologia,6
Data Science,Eloah Rodrigues,8.52,1086414,90307346242,Inativo,Bolsa Mérito,91.0,Escola de Tecnologia,5
Data Science,Bella da Costa,6.43,1088889,71068304412,Matriculado,Bolsa Parcial,23.9,Escola de Tecnologia,2
Data Science,Mariah Ramos,6.95,1090125,91600559963,Matriculado,Bolsa Parcial,35.8,Escola de Tecnologia,1
Data Science,Leonardo da Cruz,7.51,1088100,70079149170,Matriculado,Bolsa Parcial,48.6,Escola de Tecnologia,8
Data Science,Alana Martins,7.91,1088427,77477020281,Matriculado,Bolsa Parcial,29.0,Escola de Tecnologia,3
Data Science,Maria Fernanda Abreu,6.71,1086711,48796058313,Matriculado,Bolsa Parcial,37.8,Escola de Tecnologia,7
Data Science,Nicolas Pacheco,8.82,1086102,88608352332,Inativo,Bolsa Mérito,73.5,Escola de Tecnologia,7
Data Science,Bryan Barros,7.79,1087914,20339136955,Inativo,Bolsa Parcial,40.5,Escola de Tecnologia,7
Data Science,Arthur Farias,6.24,1086036,54729865857,Matriculado,Bolsa Parcial,46.4,Escola de Tecnologia,5
Data Science,Thiago Moraes,9.7,1088940,34886353193,Matriculado,Bolsa Mérito,95.6,Escola de Tecnologia,7
Data Science,Yasmin Costela,8.14,1088724,68577652182,Matriculado,Bolsa Mérito,68.9,Escola de Tecnologia,1
Data Science,Matteo Sampaio,8.87,1088496,65535061541,Matriculado,Bolsa Mérito,67.0,Escola de Tecnologia,4
Data Science,Ana Beatriz Farias,9.86,1088250,36617665664,Inativo,Bolsa Mérito,57.8,Escola de Tecnologia,5
Data Science,Thomas da Paz,8.93,1087752,47736921362,Matriculado,Bolsa Mérito,90.7,Escola de Tecnologia,1
Data Science,Valentina Pacheco,6.64,1085769,24562049075,Inativo,Bolsa Parcial,47.9,Escola de Tecnologia,8
Data Science,Raquel Borges,8.05,1089060,67190792745,Inativo,Bolsa Mérito,75.4,Escola de Tecnologia,7
Data Science,Augusto Guerra,8.79,1087239,66532268925,Matriculado,Bolsa Mérito,74.5,Escola de Tecnologia,3
Data Science,Ísis Monteiro,8.7,1089912,57876463301,Inativo,Bolsa Mérito,84.4,Escola de Tecnologia,2
Data Science,Ayla Vieira,6.72,1085820,63753561950,Matriculado,Bolsa Parcial,25.3,Escola de Tecnologia,2
Data Science,Benjamim Silva,6.0,1086861,23601618842,Matriculado,Bolsa Parcial,30.6,Escola de Tecnologia,3
Data Science,Carolina Pinto,9.54,1087848,40407844098,Inativo,Bolsa Mérito,78.0,Escola de Tecnologia,7
Data Science,Nina da Cruz,8.1,1088034,70968883874,Matriculado,Bolsa Mérito,82.3,Escola de Tecnologia,7
Data Science,Carolina Peixoto,7.92,1090341,55515855485,Matriculado,Bolsa Parcial,43.3,Escola de Tecnologia,3
Data Science,Francisco Novaes,8.68,1085835,36645560354,Matriculado,Bolsa Mérito,80.5,Escola de Tecnologia,6
Data Science,Maria Silva,7.16,1090260,25136736886,Matriculado,Bolsa Parcial,22.8,Escola de Tecnologia,8
Data Science,Ana Júlia Nunes,7.71,1087374,15510253916,Inativo,Bolsa Parcial,28.5,Escola de Tecnologia,8
