nome_professor,cpf,matricula,nome_departamento,semestre_atual, ,media_global,media_global_professor
João Felipe Fogaça,88692474748,2010343,Ciências Biológicas,8,,7.936876155268023,7.94
Júlia Pimenta,22770149647,2010337,Ciências Biológicas,1,,8.009375,8.01
Luiz Fernando Macedo,32624111128,22311877,Escola de Engenharia,5,,7.928421052631579,7.98
Danilo Fogaça,56868032130,33142519,Escola de Engenharia,6,,7.986284691136975,7.98
Cauê da Cunha,8918938131,59126606,Escola de Tecnologia,4,,7.961030927835051,7.99
Pedro Lucas Mendonça,98822830709,2003447,Escola de Engenharia,7,,7.962367109634552,7.96
Alice da Cunha,96495221296,2003443,Escola de Engenharia,6,,7.986284691136975,7.99
Asafe Pastor,52881371326,2003441,Escola de Engenharia,8,,8.0739901071723,8.07
Yuri Montenegro,10265753856,2003442,Escola de Engenharia,1,,7.969423604757548,7.97
Ana Liz Correia,30784199687,2003444,Escola de Engenharia,2,,7.99183147033534,7.99
Ayla Nunes,46449038335,69820189,Escola de Tecnologia,7,,8.030921933085502,8.0
Hadassa Carvalho,8837012776,2012585,Ciências Biológicas,3,,8.033939393939393,8.03
Clara Moreira,88406427122,2012588,Ciências Biológicas,8,,7.936876155268023,7.94
Anthony Melo,85597269282,2012584,Ciências Biológicas,1,,8.009375,8.01
Bruna Cunha,45593168210,2012593,Ciências Biológicas,1,,8.009375,8.01
Larissa Melo,85175682295,2012591,Ciências Biológicas,1,,8.009375,8.01
Ana Beatriz Guerra,59012811114,2012589,Ciências Biológicas,3,,8.033939393939393,8.03
Yago Farias,57211194390,2012594,Ciências Biológicas,9,,,
Arthur Sousa,32602714561,2012592,Ciências Biológicas,6,,7.952380038387715,7.95
Luiz Fernando Cardoso,10603998844,2012587,Ciências Biológicas,1,,8.009375,8.01
Maria da Paz,95277249642,6465327,Escola de Saúde,5,,7.945814345991562,8.0
Yuri Ramos,72918495855,2001767,Escola de Tecnologia,2,,8.004819112627986,8.0
Lavínia Gomes,49368913568,2001769,Escola de Tecnologia,5,,8.034368998628258,8.03
Benício Santos,15411323085,2001766,Escola de Tecnologia,6,,8.016576576576577,8.02
Juan Lopes,78844581761,2001763,Escola de Tecnologia,8,,7.919821693907875,7.92
Hadassa Cardoso,75356815407,2001771,Escola de Tecnologia,9,,,
Ana Luiza Lima,74651492190,2001772,Escola de Tecnologia,1,,8.03510148849797,8.04
Fernando Rodrigues,19343972930,2001768,Escola de Tecnologia,7,,8.030921933085502,8.03
Paulo Nascimento,92597318553,2001770,Escola de Tecnologia,1,,8.03510148849797,8.04
Henry Pires,88074354679,2001764,Escola de Tecnologia,4,,7.961030927835051,7.96
Luiz Gustavo Barbosa,73209842116,63218496,Escola de Saúde,9,,7.980497237569061,7.97
Liz Moura,30926523101,39173229,Escola de Saúde,8,,7.959191353082466,8.01
Sara Pinto,85927890763,18180281,Escola de Engenharia,3,,8.016448839208941,7.99
Pedro Lucas Borges,542964247,2010921,Ciências Biológicas,3,,8.033939393939393,8.03
Antonella Santos,61676618113,2010932,Ciências Biológicas,2,,8.097638095238096,8.1
Pedro Henrique Rezende,53776478142,2010926,Ciências Biológicas,7,,8.032611464968154,8.03
Francisco Macedo,11102780804,2010923,Ciências Biológicas,6,,7.952380038387715,7.95
Marcos Vinicius Fernandes,50436290506,2010928,Ciências Biológicas,2,,8.097638095238096,8.1
Catarina Jesus,25107924238,2010933,Ciências Biológicas,9,,,
Manuela Azevedo,55895753259,2010920,Ciências Biológicas,6,,7.952380038387715,7.95
Maria Julia da Rocha,44685668028,2010929,Ciências Biológicas,8,,7.936876155268023,7.94
Maria Cecília Rocha,46496894931,2010930,Ciências Biológicas,7,,8.032611464968154,8.03
Kamilly Ramos,14131282929,2010924,Ciências Biológicas,2,,8.097638095238096,8.03
Catarina Gomes,85950439943,2010931,Ciências Biológicas,9,,,8.1
Maria Júlia Albuquerque,46207626114,2010925,Ciências Biológicas,7,,8.032611464968154,8.03
Ravi Lucca Dias,87150214391,41659477,Escola de Tecnologia,7,,8.030921933085502,8.03
Gael Henrique Peixoto,83243719908,6409053,Escola de Tecnologia,9,,,7.98
Emanuel Cavalcante,11712316708,2003600,Escola de Engenharia,2,,7.99183147033534,7.96
Levi Vargas,37084550786,2003602,Escola de Engenharia,5,,7.928421052631579,7.93
Yuri Castro,63248402934,2003605,Escola de Engenharia,6,,7.986284691136975,8.0
Joana Sá,51390492836,2003601,Escola de Engenharia,3,,8.016448839208941,8.02
Isabelly Fogaça,8541494251,2003607,Escola de Engenharia,5,,7.928421052631579,7.97
Sara Machado,90261489904,2003604,Escola de Engenharia,4,,7.955649622799664,7.96
Luana Barbosa,38189111237,2003606,Escola de Engenharia,1,,7.969423604757548,7.97
Bryan Lima,87644394139,43855027,Escola de Tecnologia,1,,8.03510148849797,8.03
Lara Castro,99328221480,42678961,Escola de Tecnologia,1,,8.03510148849797,7.95
Arthur Gabriel Garcia,50298865052,11078513,Escola de Saúde,3,,8.003683774834437,7.98
Felipe Guerra,45572010894,2006885,Escola de Saúde,6,,8.010923566878981,8.02
Sarah Fogaça,47046361209,2006879,Escola de Saúde,3,,8.003683774834437,8.0
Ana Cecília Freitas,45416689966,36580827,Escola de Saúde,7,,8.009608006672227,7.99
Rafael da Costa,66251249526,2006880,Escola de Saúde,6,,8.010923566878981,8.01
Eloah Garcia,38385441162,2006884,Escola de Saúde,6,,8.010923566878981,8.01
Noah Ferreira,19282929262,2006878,Escola de Saúde,5,,7.945814345991562,7.95
Laura Andrade,55105887965,2006876,Escola de Saúde,2,,8.029213938411669,8.03
Giovanna Fonseca,59611050098,2006882,Escola de Saúde,8,,7.959191353082466,7.96
Maria Liz da Luz,88718010548,24709455,Escola de Engenharia,2,,7.99183147033534,8.0
Valentim Costela,2144808588,2000522,Escola de Tecnologia,9,,,
Sophie Sá,6866531293,2000517,Escola de Tecnologia,7,,8.030921933085502,8.03
José Abreu,32771124073,2000516,Escola de Tecnologia,9,,,
Olívia das Neves,95103094558,2000520,Escola de Tecnologia,8,,7.919821693907875,7.92
Gael Henrique Duarte,59452479056,2000514,Escola de Tecnologia,6,,8.016576576576577,8.02
Ísis Nascimento,57667960530,2000521,Escola de Tecnologia,5,,8.034368998628258,8.03
Laura Souza,25614878666,2000515,Escola de Tecnologia,3,,7.94713605442177,7.95
Ian Cavalcanti,61082406535,2000519,Escola de Tecnologia,7,,8.030921933085502,8.03
Milena Guerra,1005022230,46336239,Escola de Saúde,7,,8.009608006672227,7.98
Maria Liz da Luz,88718010548,24709455,Escola de Engenharia,9,,8.011547248182762,8.0
Daniel Sampaio,83670523245,89473696,Escola de Engenharia,5,,7.928421052631579,8.01
Raquel Rios,18700843967,57155660,Escola de Tecnologia,4,,7.961030927835051,7.97
Théo da Cunha,33364015242,28761392,Escola de Engenharia,4,,7.955649622799664,7.99
Vitor Hugo Dias,56687381811,2004181,Escola de Engenharia,2,,7.99183147033534,7.99
Kamilly Rios,64964473881,2004178,Escola de Engenharia,2,,7.99183147033534,7.99
Ana Beatriz Caldeira,44108943541,2004182,Escola de Engenharia,4,,7.955649622799664,7.96
Alexia Oliveira,50651748608,2004184,Escola de Engenharia,4,,7.955649622799664,7.96
Luan Casa Grande,75064967716,2004187,Escola de Engenharia,5,,7.928421052631579,7.93
Ágatha Barros,34976411666,2004183,Escola de Engenharia,5,,7.928421052631579,7.93
Beatriz Câmara,79742982059,2004189,Escola de Engenharia,1,,7.969423604757548,7.97
Daniela Cavalcanti,32704015337,2004180,Escola de Engenharia,4,,7.955649622799664,7.96
Igor Novaes,89341991824,2004185,Escola de Engenharia,8,,8.0739901071723,8.07
Lucas Araújo,82260029442,2004179,Escola de Engenharia,5,,7.928421052631579,7.93
João Felipe Moraes,87715202506,2004186,Escola de Engenharia,1,,7.969423604757548,7.97
Ester Lima,89749346418,2004488,Escola de Engenharia,4,,7.955649622799664,7.96
Bryan Rios,88718422805,2004493,Escola de Engenharia,5,,7.928421052631579,7.93
Breno Moraes,28551530059,2004494,Escola de Engenharia,2,,7.99183147033534,7.99
Eduarda Siqueira,82719606888,2004489,Escola de Engenharia,6,,7.986284691136975,7.99
Agatha Rezende,96838857195,2004496,Escola de Engenharia,5,,7.928421052631579,7.93
Antony Melo,95555122964,2004490,Escola de Engenharia,4,,7.955649622799664,7.96
Letícia Correia,63519028159,2004495,Escola de Engenharia,8,,8.0739901071723,8.07
Catarina Pinto,81560187977,2004486,Escola de Engenharia,4,,7.955649622799664,7.96
Enzo Gabriel da Cunha,44653834891,2004492,Escola de Engenharia,2,,7.99183147033534,7.99
Juliana Lima,5063433318,2004497,Escola de Engenharia,5,,7.928421052631579,7.93
Isadora Cirino,52604163431,47916063,Escola de Tecnologia,1,,8.03510148849797,8.02
Davi Lucas Dias,24289246802,46959036,Ciências Biológicas,1,,8.009375,8.0
Bento Moraes,67794493832,2004365,Escola de Engenharia,1,,7.969423604757548,7.97
Leonardo Rios,60254137958,2004359,Escola de Engenharia,9,,8.011547248182762,8.01
Ayla Jesus,27107337732,33558405,Escola de Engenharia,5,,7.928421052631579,7.97
Hellena Moreira,87791967964,2004366,Escola de Engenharia,1,,7.969423604757548,7.97
Miguel Fonseca,88561977262,2004364,Escola de Engenharia,4,,7.955649622799664,7.96
Rael Marques,60713282683,2004363,Escola de Engenharia,7,,7.962367109634552,7.96
Luna Pires,8037463094,2004368,Escola de Engenharia,7,,7.962367109634552,8.02
Benjamin Borges,81617526208,2004360,Escola de Engenharia,2,,7.99183147033534,7.99
Pedro Miguel Sá,27752010829,2004369,Escola de Engenharia,7,,7.962367109634552,7.96
Brayan Casa Grande,76848598580,2005072,Escola de Engenharia,3,,8.016448839208941,8.02
Maya da Luz,80992671425,2005069,Escola de Engenharia,2,,7.99183147033534,7.99
Elisa Nogueira,18321273585,2005068,Escola de Engenharia,3,,8.016448839208941,8.01
Gael Henrique da Cunha,54361575910,2005074,Escola de Engenharia,4,,7.955649622799664,7.96
Ana Carolina Sousa,12609299378,2005071,Escola de Engenharia,9,,8.011547248182762,8.01
Isis Vargas,49393834589,2005076,Escola de Engenharia,2,,7.99183147033534,7.99
Gabriel da Mata,47613627690,2005077,Escola de Engenharia,3,,8.016448839208941,8.02
Milena Vasconcelos,14725056592,38109624,Escola de Engenharia,1,,7.969423604757548,7.97
Clara Almeida,68277543508,2008702,Escola de Saúde,6,,8.010923566878981,8.01
José Miguel Cirino,14143590505,2008699,Escola de Saúde,1,,8.011402095084609,8.01
Olivia Barros,78238235485,2008701,Escola de Saúde,7,,8.009608006672227,8.01
Maria Helena Correia,33559802788,2008706,Escola de Saúde,9,,7.980497237569061,8.0
Léo Cirino,91065681935,2008705,Escola de Saúde,8,,7.959191353082466,7.96
Antônio Moura,54019701420,2008704,Escola de Saúde,5,,7.945814345991562,7.95
Gael Barbosa,27497283330,31499998,Escola de Engenharia,3,,8.016448839208941,8.0
João Pedro Costa,7620457107,2007791,Escola de Saúde,7,,8.009608006672227,8.01
Diego Pacheco,76972348195,2007797,Escola de Saúde,3,,8.003683774834437,8.0
Nina Sales,16657703666,2007796,Escola de Saúde,6,,8.010923566878981,8.01
Cauê Jesus,5426160369,2007795,Escola de Saúde,9,,7.980497237569061,7.98
Erick Cassiano,12621803287,2007794,Escola de Saúde,3,,8.003683774834437,8.01
Joana da Mata,55273497364,2007788,Escola de Saúde,4,,8.052280701754386,8.05
Francisco da Costa,41018017798,25086902,Escola de Saúde,2,,8.029213938411669,8.02
Raul Rios,72810358415,35210399,Escola de Engenharia,4,,7.955649622799664,7.98
Vitória Carvalho,83633957986,2005960,Escola de Engenharia,8,,8.0739901071723,8.07
Dante Moraes,73361738959,2005969,Escola de Engenharia,2,,7.99183147033534,7.99
Arthur Gabriel Nascimento,88391891052,2005968,Escola de Engenharia,1,,7.969423604757548,7.97
Lucca Carvalho,97083016888,2005963,Escola de Engenharia,1,,7.969423604757548,7.97
Maria Liz Casa Grande,35138649438,2005966,Escola de Engenharia,6,,7.986284691136975,7.99
Eloah Cassiano,64876199949,2005971,Escola de Engenharia,7,,7.962367109634552,7.96
Luna Ferreira,65131284859,2005965,Escola de Engenharia,4,,7.955649622799664,7.96
Aurora Lopes,77493141458,2005962,Escola de Engenharia,4,,7.955649622799664,7.99
Ísis Vargas,23274200721,2005970,Escola de Engenharia,6,,7.986284691136975,7.99
Rebeca Araújo,29167078678,2005964,Escola de Engenharia,1,,7.969423604757548,7.97
Nina Marques,60869057130,2012034,Ciências Biológicas,4,,7.924395393474088,7.92
Juan Cardoso,30345834930,2012028,Ciências Biológicas,7,,8.032611464968154,7.98
Bruna Camargo,65189525092,2012035,Ciências Biológicas,3,,8.033939393939393,8.03
Ana Moreira,37281433405,45290096,Ciências Biológicas,5,,7.973406193078324,7.98
Benjamim Jesus,71570033107,2012032,Ciências Biológicas,2,,8.097638095238096,8.1
Amanda Ribeiro,54451287537,2012029,Ciências Biológicas,5,,7.973406193078324,7.97
Valentim Fonseca,349212907,2012033,Ciências Biológicas,2,,8.097638095238096,8.1
Kevin Melo,67621741077,2000674,Escola de Tecnologia,7,,8.030921933085502,8.03
Isis Vasconcelos,19444385389,2000668,Escola de Tecnologia,1,,8.03510148849797,8.04
Maria Alice da Costa,93333042804,2000672,Escola de Tecnologia,5,,8.034368998628258,8.03
Ravi Lucca Martins,39558748586,96934344,Escola de Tecnologia,2,,8.004819112627986,8.02
Mariana Souza,49521703754,66007836,Escola de Tecnologia,6,,8.016576576576577,8.0
Stephany Costa,14540710154,2000675,Escola de Tecnologia,8,,7.919821693907875,7.92
Ravi Brito,8124060986,2000678,Escola de Tecnologia,3,,7.94713605442177,7.95
Eduarda Pacheco,89271174203,2000669,Escola de Tecnologia,8,,7.919821693907875,7.92
Alice Dias,17185637422,53812780,Escola de Engenharia,4,,7.955649622799664,8.01
Luiza Gomes,75603224446,2010182,Ciências Biológicas,4,,7.924395393474088,7.93
Bárbara Sales,42249087435,2010177,Ciências Biológicas,8,,7.936876155268023,7.96
Kevin Castro,59457704411,2010179,Ciências Biológicas,6,,7.952380038387715,7.95
Ian Aparecida,1969461746,2010180,Ciências Biológicas,9,,,
Vitória Pacheco,27665885748,2010181,Ciências Biológicas,2,,8.097638095238096,8.1
Isabela Caldeira,52529655521,27360882,Ciências Biológicas,4,,7.924395393474088,8.0
Arthur Gabriel da Costa,72954335022,45851122,Escola de Saúde,6,,8.010923566878981,8.0
Hadassa Fonseca,16457637718,10272192,Escola de Engenharia,3,,8.016448839208941,7.98
Sofia Freitas,26868257088,69638830,Ciências Biológicas,7,,8.032611464968154,7.96
Allana Nascimento,46147321066,2007053,Escola de Saúde,9,,7.980497237569061,7.98
Sophie das Neves,87200253847,2007054,Escola de Saúde,7,,8.009608006672227,8.01
Luiz Fernando Novais,54012875584,2007058,Escola de Saúde,2,,8.029213938411669,8.03
Yasmin Fogaça,35381390568,2007056,Escola de Saúde,5,,7.945814345991562,7.95
Sophie Novais,58253814602,2005249,Escola de Engenharia,9,,8.011547248182762,7.99
Brayan Mendes,4055058744,2005246,Escola de Engenharia,9,,8.011547248182762,8.01
Bárbara Rocha,76539847484,2005248,Escola de Engenharia,1,,7.969423604757548,7.97
Dom Ribeiro,38987001323,2005253,Escola de Engenharia,8,,8.0739901071723,8.07
Ana Vitória Brito,21619539935,2006132,Escola de Engenharia,9,,8.011547248182762,8.01
Leandro Camargo,92647127778,2006140,Escola de Engenharia,2,,7.99183147033534,7.99
Cauã Abreu,17183191119,2006133,Escola de Engenharia,7,,7.962367109634552,7.96
Caio Viana,50610644042,2006137,Escola de Engenharia,9,,8.011547248182762,8.01
Diogo Borges,43953406603,2006139,Escola de Engenharia,9,,8.011547248182762,8.01
Hellena Sampaio,93110347993,2006129,Escola de Engenharia,1,,7.969423604757548,7.97
Maria Liz Souza,76670067629,2006135,Escola de Engenharia,6,,7.986284691136975,7.99
Marina Melo,87616438361,2006136,Escola de Engenharia,1,,7.969423604757548,7.97
Evelyn Farias,4903281160,2006138,Escola de Engenharia,1,,7.969423604757548,7.97
Caroline Nascimento,48465538232,76756472,Escola de Tecnologia,4,,7.961030927835051,7.99
Kamilly Dias,5964823464,2011869,Ciências Biológicas,8,,7.936876155268023,7.94
Valentina Albuquerque,2407431932,2011875,Ciências Biológicas,6,,7.952380038387715,7.95
Ayla Nogueira,80715556548,2011871,Ciências Biológicas,3,,8.033939393939393,8.03
Vitor da Mata,74093593274,2011872,Ciências Biológicas,3,,8.033939393939393,8.03
Oliver Nogueira,21278722592,2011865,Ciências Biológicas,5,,7.973406193078324,7.97
Rael Silva,71247496260,2011867,Ciências Biológicas,1,,8.009375,8.01
Heitor Guerra,12166629133,2011868,Ciências Biológicas,9,,,
Erick Gonçalves,46372120534,2011874,Ciências Biológicas,3,,8.033939393939393,7.99
Rebeca Azevedo,49243099328,2011863,Ciências Biológicas,4,,7.924395393474088,7.92
Maria Julia Fonseca,89898846889,2011870,Ciências Biológicas,3,,8.033939393939393,7.99
Davi Lucca Farias,75392936061,2011866,Ciências Biológicas,4,,7.924395393474088,7.92
Allana Costela,6634989330,85776206,Escola de Saúde,2,,8.029213938411669,8.0
Rafaela Sá,20942649347,99235556,Escola de Engenharia,3,,8.016448839208941,7.97
Rodrigo Câmara,88672160802,40029879,Ciências Biológicas,6,,7.952380038387715,7.98
Felipe Guerra,2648471864,2007661,Escola de Saúde,2,,8.029213938411669,8.02
Theo Gonçalves,22770716439,2007662,Escola de Saúde,7,,8.009608006672227,8.01
Caio Silveira,12611408535,2007663,Escola de Saúde,6,,8.010923566878981,8.01
Rafaela Rezende,36379936306,2007668,Escola de Saúde,5,,7.945814345991562,7.95
Luiz Otávio Andrade,35904012504,2007667,Escola de Saúde,8,,7.959191353082466,7.96
Sophie Freitas,66787479412,2007666,Escola de Saúde,6,,8.010923566878981,8.03
João Gabriel Carvalho,69904491094,28174362,Escola de Saúde,1,,8.011402095084609,8.02
Rhavi Gomes,9387312916,2007665,Escola de Saúde,6,,8.010923566878981,8.01
Maria Liz da Luz,88718010548,24709455,Escola de Engenharia,8,,8.0739901071723,8.0
Maria Cecília Novais,630203284,95173642,Escola de Tecnologia,5,,8.034368998628258,8.01
Giovanna Porto,74835748451,89464046,Ciências Biológicas,4,,7.924395393474088,7.98
Marcelo da Paz,73052907596,2009446,Escola de Saúde,9,,7.980497237569061,7.98
Isaac Teixeira,34513328736,2009450,Escola de Saúde,6,,8.010923566878981,8.01
Jade Cunha,13072697935,2009444,Escola de Saúde,8,,7.959191353082466,7.96
Cecília Souza,64309434987,2009441,Escola de Saúde,4,,8.052280701754386,8.01
Paulo Cavalcanti,83078116139,2009442,Escola de Saúde,8,,7.959191353082466,7.96
João Vitor Ramos,24515590192,2009448,Escola de Saúde,4,,8.052280701754386,8.05
Mariane Gomes,39764794726,2009447,Escola de Saúde,2,,8.029213938411669,8.03
Pedro Miguel Borges,62626873327,2008552,Escola de Saúde,7,,8.009608006672227,8.01
Enrico Fonseca,93756517099,2008546,Escola de Saúde,1,,8.011402095084609,8.01
Maria Alice Correia,70164185775,2008549,Escola de Saúde,7,,8.009608006672227,8.01
Miguel Siqueira,71419142844,2008547,Escola de Saúde,3,,8.003683774834437,8.0
Aurora Melo,9278670986,29217207,Escola de Engenharia,9,,8.011547248182762,8.01
Brayan Santos,23237119256,2001617,Escola de Tecnologia,3,,7.94713605442177,7.95
Antônio Jesus,78402837452,2001623,Escola de Tecnologia,6,,8.016576576576577,8.02
Rebeca Moraes,90903438261,2001619,Escola de Tecnologia,9,,,
Marina Sousa,12341684658,2001616,Escola de Tecnologia,5,,8.034368998628258,8.03
Marcos Vinicius Moura,91523336836,2001621,Escola de Tecnologia,4,,7.961030927835051,7.96
Bianca Aragão,15965465872,2001622,Escola de Tecnologia,3,,7.94713605442177,7.95
Maya Mendes,33838682507,2001620,Escola de Tecnologia,8,,7.919821693907875,7.92
Murilo Castro,64172115909,2001614,Escola de Tecnologia,4,,7.961030927835051,7.96
Heitor da Costa,89272917778,77851146,Ciências Biológicas,9,,,7.94
Maria Luiza Rodrigues,928214679,2004200,Escola de Engenharia,6,,7.986284691136975,7.99
Bryan Macedo,77141801050,2004196,Escola de Engenharia,5,,7.928421052631579,7.93
João Felipe Pinto,63346991186,2004190,Escola de Engenharia,8,,8.0739901071723,8.07
Lorenzo Nunes,66660228879,2004202,Escola de Engenharia,2,,7.99183147033534,7.99
Vicente Sales,20753847051,2004197,Escola de Engenharia,2,,7.99183147033534,7.99
Theo Ribeiro,54375721347,2004199,Escola de Engenharia,1,,7.969423604757548,7.97
Rafaela da Mata,19629273489,2004195,Escola de Engenharia,1,,7.969423604757548,7.97
Dom Borges,80538173294,2004191,Escola de Engenharia,5,,7.928421052631579,7.93
Eloah Melo,96889558099,2004192,Escola de Engenharia,4,,7.955649622799664,7.96
Zoe Mendes,97364640822,2004194,Escola de Engenharia,7,,7.962367109634552,7.95
Maria Cecília Pereira,85243744854,85462778,Escola de Engenharia,7,,7.962367109634552,7.99
Dom Farias,12601329185,2008390,Escola de Saúde,1,,8.011402095084609,8.0
Vicente Fernandes,37427004297,2008384,Escola de Saúde,9,,7.980497237569061,7.98
Sophia Casa Grande,55744186525,2008387,Escola de Saúde,3,,8.003683774834437,8.0
Caroline Borges,84355708160,2008391,Escola de Saúde,9,,7.980497237569061,7.97
Vitor Gabriel Borges,86676854291,2008385,Escola de Saúde,5,,7.945814345991562,7.95
Marcelo Barros,42184721251,2008392,Escola de Saúde,1,,8.011402095084609,8.01
Isadora Carvalho,57683989247,2008389,Escola de Saúde,6,,8.010923566878981,8.01
Valentina Rocha,27698339588,2008394,Escola de Saúde,9,,7.980497237569061,7.98
Isis Fonseca,38738078896,2002521,Escola de Tecnologia,5,,8.034368998628258,8.03
Gabriel das Neves,76094126879,2002520,Escola de Tecnologia,3,,7.94713605442177,7.95
Vinícius Pinto,69059853801,2002529,Escola de Tecnologia,8,,7.919821693907875,7.92
Eloah Cardoso,60810147362,2002531,Escola de Tecnologia,4,,7.961030927835051,7.96
Cecilia Barbosa,59033622863,2002519,Escola de Tecnologia,3,,7.94713605442177,7.95
Laís Pires,60575151513,2002527,Escola de Tecnologia,8,,7.919821693907875,7.92
Brayan Costela,62604084064,2002530,Escola de Tecnologia,6,,8.016576576576577,8.02
Felipe Rocha,8014661155,2002532,Escola de Tecnologia,8,,7.919821693907875,7.92
Mathias Teixeira,40588582598,2002524,Escola de Tecnologia,9,,,
Lunna Garcia,83492032374,2002526,Escola de Tecnologia,7,,8.030921933085502,8.03
Liz Moura,30926523101,39173229,Escola de Saúde,3,,8.003683774834437,8.01
Igor Correia,37483935855,2012598,Ciências Biológicas,8,,7.936876155268023,7.94
Raquel Freitas,18949125585,2012601,Ciências Biológicas,2,,8.097638095238096,8.1
Maria Isis Moraes,18006389047,2012599,Ciências Biológicas,3,,8.033939393939393,8.03
